--------------------------------------------
|              Measures file               |
--------------------------------------------

MEASURES USED AS OBJECTIVES:
	COMP	UNUS	

CLASS	COMP	UNUS	FCNF
0	0.497143	0.772200	0.883249
0	0.995714	0.721800	0.726253
0	0.617143	0.746100	0.790886
0	0.930000	0.737700	0.760421
0	0.968571	0.730000	0.749907
0	0.972857	0.724200	0.724249
0	0.940000	0.733200	0.753273
0	0.998571	0.681200	0.663441
0	0.788571	0.742100	0.785233
0	0.797143	0.739200	0.778156
