Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	3.000000	0.477778	16.679741	0.123457	0.809160	0.920000	0.388889	0.387176	0.745209	0.813953
001   	000	-	2.000000	0.670370	7.059953	0.097942	0.699454	0.846667	0.470370	0.470370	0.701657	0.701657
002   	001	-	4.000000	0.003704	0.704365	0.002058	0.666667	0.033333	0.003704	0.007407	1.000000	1.000000
003   	001	-	6.000000	0.048148	9.156746	0.026749	0.933333	0.625000	0.048148	0.086591	0.827919	1.000000
004   	001	-	2.000000	0.477778	15.574871	0.124691	0.702290	0.900000	0.337037	0.358025	0.622318	0.705426
005   	001	-	6.000000	0.007407	1.408730	0.004115	0.750000	0.025000	0.007407	0.006487	1.000000	1.000000
006   	001	-	8.000000	0.000000	0.000000	0.000000	0.500000	0.025000	0.000000	0.002309	1.000000	0.000000
007   	001	-	6.000000	0.000000	0.000000	0.000000	0.500000	0.016667	0.000000	0.002143	0.773109	0.000000
-    	- 	008	4.625000	0.210648	6.323051	0.047377	0.695113	0.423958	0.877778	0.165064	0.833776	0.652630
