#Rule	#Vars	Cov	Sign	Unus	Supp	Cnf
0	2.000	0.020	0.154	-0.002	0.182	0.912
1	2.000	0.020	0.154	-0.002	0.182	0.912
2	2.000	0.020	0.154	-0.002	0.182	0.912
3	2.000	0.020	0.154	-0.002	0.182	0.912
4	2.000	0.020	0.004	-0.000	0.184	0.920
5	2.000	0.020	0.004	-0.000	0.184	0.920
6	2.000	0.020	0.004	-0.000	0.184	0.920
7	2.000	0.020	0.004	-0.000	0.184	0.920
8	2.000	0.020	0.004	-0.000	0.184	0.920
9	2.000	0.020	0.004	-0.000	0.184	0.920
-	2.000	0.020	0.064	-0.001	0.183	0.917
