trivials	empty	rule	c2	c3	c4	c5	f1	f2	f3	f4	f5	covPostCases	confidence	lift	globalQuality	withoutTrivial	optimised	iteration	treeNode	simplification	oneCatAltIndex	extLength	covPostCases2	support
1510	""	0.4	0.363636363636364	0.185185185185185	0.184210526315789	0.5					""	""	""	""	""	=if(or(A1510 = "R";isnumber(match(c1510;a$1:a$1000;0));isnumber(match(h1510;a$1:a$1000;0));isnumber(match(d1510;a$1:a$1000;0));isnumber(match(i1510;a$1:a$1000;0));isnumber(match(e1510;a$1:a$1000;0));isnumber(match(j1510;a$1:a$1000;0));isnumber(match(f1510;a$1:a$1000;0));isnumber(match(k1510;a$1:a$1000;0));isnumber(match(g1510;a$1:a$1000;0));isnumber(match(l1510;a$1:a$1000;0)));0;p1510)	From Tree node	033	61	""	""	""	""	""
1511	""	-1	-1	-0.8	-1	-0.666666666666667					""	""	""	""	""	=if(or(A1510 = "R";isnumber(match(c1510;a$1:a$1000;0));isnumber(match(h1510;a$1:a$1000;0));isnumber(match(d1510;a$1:a$1000;0));isnumber(match(i1510;a$1:a$1000;0));isnumber(match(e1510;a$1:a$1000;0));isnumber(match(j1510;a$1:a$1000;0));isnumber(match(f1510;a$1:a$1000;0));isnumber(match(k1510;a$1:a$1000;0));isnumber(match(g1510;a$1:a$1000;0));isnumber(match(l1510;a$1:a$1000;0)));0;p1510)	From Tree node	033	61	""	""	""	""	""
1512	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A1510 = "R";isnumber(match(c1510;a$1:a$1000;0));isnumber(match(h1510;a$1:a$1000;0));isnumber(match(d1510;a$1:a$1000;0));isnumber(match(i1510;a$1:a$1000;0));isnumber(match(e1510;a$1:a$1000;0));isnumber(match(j1510;a$1:a$1000;0));isnumber(match(f1510;a$1:a$1000;0));isnumber(match(k1510;a$1:a$1000;0));isnumber(match(g1510;a$1:a$1000;0));isnumber(match(l1510;a$1:a$1000;0)));0;p1510)	From Tree node	033	61	""	""	""	""	""
1513	""	AlbuMin< 3.85	Histology>=1.5	Sgot< 86	LiverFirm< 1.5	Sgot< 50.5	AlbuMin	Histology	Sgot	LiverFirm	Sgot	0.230769230769231	1	6.15	0.230769230769231	=if(or(A1514 = "R";isnumber(match(c1514;a$1:a$1000;0));isnumber(match(h1514;a$1:a$1000;0));isnumber(match(d1514;a$1:a$1000;0));isnumber(match(i1514;a$1:a$1000;0));isnumber(match(e1514;a$1:a$1000;0));isnumber(match(j1514;a$1:a$1000;0));isnumber(match(f1514;a$1:a$1000;0));isnumber(match(k1514;a$1:a$1000;0));isnumber(match(g1514;a$1:a$1000;0));isnumber(match(l1514;a$1:a$1000;0)));0;p1514)	From Tree node	0334	61	""	""	1	3	3
1514	""	0.4	0.363636363636364	0.185185185185185	0.184210526315789	0.151515151515152					""	""	""	""	""	=if(or(A1514 = "R";isnumber(match(c1514;a$1:a$1000;0));isnumber(match(h1514;a$1:a$1000;0));isnumber(match(d1514;a$1:a$1000;0));isnumber(match(i1514;a$1:a$1000;0));isnumber(match(e1514;a$1:a$1000;0));isnumber(match(j1514;a$1:a$1000;0));isnumber(match(f1514;a$1:a$1000;0));isnumber(match(k1514;a$1:a$1000;0));isnumber(match(g1514;a$1:a$1000;0));isnumber(match(l1514;a$1:a$1000;0)));0;p1514)	From Tree node	0334	61	""	""	""	""	""
1515	""	-0.6	-0.5	-1	-1	-0.666666666666667					""	""	""	""	""	=if(or(A1514 = "R";isnumber(match(c1514;a$1:a$1000;0));isnumber(match(h1514;a$1:a$1000;0));isnumber(match(d1514;a$1:a$1000;0));isnumber(match(i1514;a$1:a$1000;0));isnumber(match(e1514;a$1:a$1000;0));isnumber(match(j1514;a$1:a$1000;0));isnumber(match(f1514;a$1:a$1000;0));isnumber(match(k1514;a$1:a$1000;0));isnumber(match(g1514;a$1:a$1000;0));isnumber(match(l1514;a$1:a$1000;0)));0;p1514)	From Tree node	0334	61	""	""	""	""	""
1516	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A1514 = "R";isnumber(match(c1514;a$1:a$1000;0));isnumber(match(h1514;a$1:a$1000;0));isnumber(match(d1514;a$1:a$1000;0));isnumber(match(i1514;a$1:a$1000;0));isnumber(match(e1514;a$1:a$1000;0));isnumber(match(j1514;a$1:a$1000;0));isnumber(match(f1514;a$1:a$1000;0));isnumber(match(k1514;a$1:a$1000;0));isnumber(match(g1514;a$1:a$1000;0));isnumber(match(l1514;a$1:a$1000;0)));0;p1514)	From Tree node	0334	61	""	""	""	""	""
1517	""	AlbuMin< 3.85	Histology>=1.5	Sgot< 86	Steroid>=1.5	Bilirubin>=1.1	AlbuMin	Histology	Sgot	Steroid	Bilirubin	0.230769230769231	1	6.15	0.230769230769231	=if(or(A1518 = "R";isnumber(match(c1518;a$1:a$1000;0));isnumber(match(h1518;a$1:a$1000;0));isnumber(match(d1518;a$1:a$1000;0));isnumber(match(i1518;a$1:a$1000;0));isnumber(match(e1518;a$1:a$1000;0));isnumber(match(j1518;a$1:a$1000;0));isnumber(match(f1518;a$1:a$1000;0));isnumber(match(k1518;a$1:a$1000;0));isnumber(match(g1518;a$1:a$1000;0));isnumber(match(l1518;a$1:a$1000;0)));0;p1518)	From Tree node	034	61	""	""	1	3	3
1518	""	0.4	0.363636363636364	0.185185185185185	0.119047619047619	0.310344827586207					""	""	""	""	""	=if(or(A1518 = "R";isnumber(match(c1518;a$1:a$1000;0));isnumber(match(h1518;a$1:a$1000;0));isnumber(match(d1518;a$1:a$1000;0));isnumber(match(i1518;a$1:a$1000;0));isnumber(match(e1518;a$1:a$1000;0));isnumber(match(j1518;a$1:a$1000;0));isnumber(match(f1518;a$1:a$1000;0));isnumber(match(k1518;a$1:a$1000;0));isnumber(match(g1518;a$1:a$1000;0));isnumber(match(l1518;a$1:a$1000;0)));0;p1518)	From Tree node	034	61	""	""	""	""	""
1519	""	-0.8	-0.6	-0.75	-1	-0.666666666666667					""	""	""	""	""	=if(or(A1518 = "R";isnumber(match(c1518;a$1:a$1000;0));isnumber(match(h1518;a$1:a$1000;0));isnumber(match(d1518;a$1:a$1000;0));isnumber(match(i1518;a$1:a$1000;0));isnumber(match(e1518;a$1:a$1000;0));isnumber(match(j1518;a$1:a$1000;0));isnumber(match(f1518;a$1:a$1000;0));isnumber(match(k1518;a$1:a$1000;0));isnumber(match(g1518;a$1:a$1000;0));isnumber(match(l1518;a$1:a$1000;0)));0;p1518)	From Tree node	034	61	""	""	""	""	""
