--------------------------------------------
|              Measures file               |
--------------------------------------------

MEASURES USED AS OBJECTIVES:
	COMP	UNUS	

CLASS	COMP	UNUS	FCNF
0	0.995495	0.695174	0.714985
0	0.979730	0.857934	0.983046
0	0.993243	0.836699	0.917321
0	0.988739	0.850172	0.947298
0	0.984234	0.857568	0.979934
0	0.968468	0.858813	0.986939
1	0.702929	0.496796	0.971098
