#Rule	#Vars	Cov	Sign	Unus	Supp	Cnf
0	2.000	0.010	18.912	0.009	0.100	1.000
1	2.000	0.010	18.912	0.009	0.100	1.000
2	2.000	0.010	18.912	0.009	0.100	1.000
3	2.000	0.010	8.847	0.007	0.100	0.980
4	2.000	0.010	18.912	0.009	0.100	1.000
5	2.000	0.010	18.912	0.009	0.100	1.000
6	2.000	0.010	18.912	0.009	0.100	1.000
7	2.000	0.010	18.912	0.009	0.100	1.000
8	2.000	0.010	18.912	0.009	0.100	1.000
9	2.000	0.010	18.912	0.009	0.100	1.000
-	2.000	0.010	17.905	0.009	0.100	0.998
