#Rule 	 #Vars 	 Cov 	 Sign 	 Unus 	 Acc 	 Sens 	 Supp 	 Cnf
0	2.0000	0.1827	329.5517	0.0873	 ---- 	0.3499	0.1827	1.0000
1	2.0000	0.1395	55.2599	0.0360	 ---- 	0.2085	0.1089	0.7803
2	2.0000	0.6208	71.8472	0.0885	 ---- 	0.7903	0.4127	0.6648
3	2.0000	0.1768	18.6306	0.0241	 ---- 	0.2229	0.1164	0.6584
4	2.0000	0.6962	62.0600	0.0873	 ---- 	0.8634	0.4509	0.6476
5	3.0000	0.2325	476.6609	0.1214	 ---- 	0.4866	0.2325	1.0000
6	3.0000	0.1151	150.1679	0.0517	 ---- 	0.2233	0.1067	0.9266
7	3.0000	0.1314	137.9575	0.0539	 ---- 	0.2443	0.1167	0.8881
---	2.3750	0.2869	162.7669	0.0688	0.7466	0.4236	1.0000	0.8207
