trivials	empty	rule	c2	c3	c4	c5	f1	f2	f3	f4	f5	covPostCases	confidence	lift	globalQuality	withoutTrivial	optimised	iteration	treeNode	simplification	oneCatAltIndex	extLength	covPostCases2	support
104	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A102 = "R";isnumber(match(c102;a$1:a$1000;0));isnumber(match(h102;a$1:a$1000;0));isnumber(match(d102;a$1:a$1000;0));isnumber(match(i102;a$1:a$1000;0));isnumber(match(e102;a$1:a$1000;0));isnumber(match(j102;a$1:a$1000;0));isnumber(match(f102;a$1:a$1000;0));isnumber(match(k102;a$1:a$1000;0));isnumber(match(g102;a$1:a$1000;0));isnumber(match(l102;a$1:a$1000;0)));0;p102)	From Tree node	0011	27	""	""	""	""	""
105	""	plas< 127.5	age>=28.5	mass>=26.35	plas>=99.5	pedi>=0.561	plas	age	mass	plas	pedi	0.0932835820895522	0.735294117647059	2.11	0.0685908691834943	=if(or(A106 = "R";isnumber(match(c106;a$1:a$1000;0));isnumber(match(h106;a$1:a$1000;0));isnumber(match(d106;a$1:a$1000;0));isnumber(match(i106;a$1:a$1000;0));isnumber(match(e106;a$1:a$1000;0));isnumber(match(j106;a$1:a$1000;0));isnumber(match(f106;a$1:a$1000;0));isnumber(match(k106;a$1:a$1000;0));isnumber(match(g106;a$1:a$1000;0));isnumber(match(l106;a$1:a$1000;0)));0;p106)	From Tree node		47	""	""	1	25	34
106	""	0.193814432989691	0.491271820448878	0.422628951747088	0.441330998248686	0.456896551724138					""	""	""	""	""	=if(or(A106 = "R";isnumber(match(c106;a$1:a$1000;0));isnumber(match(h106;a$1:a$1000;0));isnumber(match(d106;a$1:a$1000;0));isnumber(match(i106;a$1:a$1000;0));isnumber(match(e106;a$1:a$1000;0));isnumber(match(j106;a$1:a$1000;0));isnumber(match(f106;a$1:a$1000;0));isnumber(match(k106;a$1:a$1000;0));isnumber(match(g106;a$1:a$1000;0));isnumber(match(l106;a$1:a$1000;0)));0;p106)	From Tree node		47	""	""	""	""	""
107	""	-0.739583333333333	-0.476190476190476	-0.568181818181818	-0.612244897959184	-0.5					""	""	""	""	""	=if(or(A106 = "R";isnumber(match(c106;a$1:a$1000;0));isnumber(match(h106;a$1:a$1000;0));isnumber(match(d106;a$1:a$1000;0));isnumber(match(i106;a$1:a$1000;0));isnumber(match(e106;a$1:a$1000;0));isnumber(match(j106;a$1:a$1000;0));isnumber(match(f106;a$1:a$1000;0));isnumber(match(k106;a$1:a$1000;0));isnumber(match(g106;a$1:a$1000;0));isnumber(match(l106;a$1:a$1000;0)));0;p106)	From Tree node		47	""	""	""	""	""
108	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A106 = "R";isnumber(match(c106;a$1:a$1000;0));isnumber(match(h106;a$1:a$1000;0));isnumber(match(d106;a$1:a$1000;0));isnumber(match(i106;a$1:a$1000;0));isnumber(match(e106;a$1:a$1000;0));isnumber(match(j106;a$1:a$1000;0));isnumber(match(f106;a$1:a$1000;0));isnumber(match(k106;a$1:a$1000;0));isnumber(match(g106;a$1:a$1000;0));isnumber(match(l106;a$1:a$1000;0)));0;p106)	From Tree node		47	""	""	""	""	""
109	""	mass>=29.85	pedi< 0.5005	mass>=40.8	pedi>=0.1995	" "	mass	pedi	mass	pedi	" "	0.0932835820895522	0.735294117647059	2.11	0.0685908691834943	=if(or(A110 = "R";isnumber(match(c110;a$1:a$1000;0));isnumber(match(h110;a$1:a$1000;0));isnumber(match(d110;a$1:a$1000;0));isnumber(match(i110;a$1:a$1000;0));isnumber(match(e110;a$1:a$1000;0));isnumber(match(j110;a$1:a$1000;0));isnumber(match(f110;a$1:a$1000;0));isnumber(match(k110;a$1:a$1000;0));isnumber(match(g110;a$1:a$1000;0));isnumber(match(l110;a$1:a$1000;0)));0;p110)	From Tree node	00	27	""	""	1	25	34
110	""	0.463312368972746	0.289205702647658	0.616279069767442	0.374805598755832						""	""	""	""	""	=if(or(A110 = "R";isnumber(match(c110;a$1:a$1000;0));isnumber(match(h110;a$1:a$1000;0));isnumber(match(d110;a$1:a$1000;0));isnumber(match(i110;a$1:a$1000;0));isnumber(match(e110;a$1:a$1000;0));isnumber(match(j110;a$1:a$1000;0));isnumber(match(f110;a$1:a$1000;0));isnumber(match(k110;a$1:a$1000;0));isnumber(match(g110;a$1:a$1000;0));isnumber(match(l110;a$1:a$1000;0)));0;p110)	From Tree node	00	27	""	""	""	""	""
111	""	-0.735294117647059	-0.662337662337662	-0.399103139013453	-0.627906976744186						""	""	""	""	""	=if(or(A110 = "R";isnumber(match(c110;a$1:a$1000;0));isnumber(match(h110;a$1:a$1000;0));isnumber(match(d110;a$1:a$1000;0));isnumber(match(i110;a$1:a$1000;0));isnumber(match(e110;a$1:a$1000;0));isnumber(match(j110;a$1:a$1000;0));isnumber(match(f110;a$1:a$1000;0));isnumber(match(k110;a$1:a$1000;0));isnumber(match(g110;a$1:a$1000;0));isnumber(match(l110;a$1:a$1000;0)));0;p110)	From Tree node	00	27	""	""	""	""	""
112	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A110 = "R";isnumber(match(c110;a$1:a$1000;0));isnumber(match(h110;a$1:a$1000;0));isnumber(match(d110;a$1:a$1000;0));isnumber(match(i110;a$1:a$1000;0));isnumber(match(e110;a$1:a$1000;0));isnumber(match(j110;a$1:a$1000;0));isnumber(match(f110;a$1:a$1000;0));isnumber(match(k110;a$1:a$1000;0));isnumber(match(g110;a$1:a$1000;0));isnumber(match(l110;a$1:a$1000;0)));0;p110)	From Tree node	00	27	""	""	""	""	""
113	""	plas>=127.5	plas< 154.5	pres>=43	skin>=31.5	age>=30	plas	plas	pres	skin	age	0.0895522388059701	0.75	2.15	0.0671641791044776	=if(or(A114 = "R";isnumber(match(c114;a$1:a$1000;0));isnumber(match(h114;a$1:a$1000;0));isnumber(match(d114;a$1:a$1000;0));isnumber(match(i114;a$1:a$1000;0));isnumber(match(e114;a$1:a$1000;0));isnumber(match(j114;a$1:a$1000;0));isnumber(match(f114;a$1:a$1000;0));isnumber(match(k114;a$1:a$1000;0));isnumber(match(g114;a$1:a$1000;0));isnumber(match(l114;a$1:a$1000;0)));0;p114)	From Tree node	2	51	""	""	1	24	32
114	""	0.614840989399293	0.263157894736842	0.343406593406593	0.465753424657534	0.494623655913978					""	""	""	""	""	=if(or(A114 = "R";isnumber(match(c114;a$1:a$1000;0));isnumber(match(h114;a$1:a$1000;0));isnumber(match(d114;a$1:a$1000;0));isnumber(match(i114;a$1:a$1000;0));isnumber(match(e114;a$1:a$1000;0));isnumber(match(j114;a$1:a$1000;0));isnumber(match(f114;a$1:a$1000;0));isnumber(match(k114;a$1:a$1000;0));isnumber(match(g114;a$1:a$1000;0));isnumber(match(l114;a$1:a$1000;0)));0;p114)	From Tree node	2	51	""	""	""	""	""
115	""	-0.494117647058824	-0.759259259259259	-0.757575757575758	-0.535714285714286	-0.618181818181818					""	""	""	""	""	=if(or(A114 = "R";isnumber(match(c114;a$1:a$1000;0));isnumber(match(h114;a$1:a$1000;0));isnumber(match(d114;a$1:a$1000;0));isnumber(match(i114;a$1:a$1000;0));isnumber(match(e114;a$1:a$1000;0));isnumber(match(j114;a$1:a$1000;0));isnumber(match(f114;a$1:a$1000;0));isnumber(match(k114;a$1:a$1000;0));isnumber(match(g114;a$1:a$1000;0));isnumber(match(l114;a$1:a$1000;0)));0;p114)	From Tree node	2	51	""	""	""	""	""
116	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A114 = "R";isnumber(match(c114;a$1:a$1000;0));isnumber(match(h114;a$1:a$1000;0));isnumber(match(d114;a$1:a$1000;0));isnumber(match(i114;a$1:a$1000;0));isnumber(match(e114;a$1:a$1000;0));isnumber(match(j114;a$1:a$1000;0));isnumber(match(f114;a$1:a$1000;0));isnumber(match(k114;a$1:a$1000;0));isnumber(match(g114;a$1:a$1000;0));isnumber(match(l114;a$1:a$1000;0)));0;p114)	From Tree node	2	51	""	""	""	""	""
117	""	preg>=6.5	insu< 112	insu< 38.5	skin>=23.5	" "	preg	insu	insu	skin	" "	0.0783582089552239	0.7	2.01	0.0548507462686567	=if(or(A118 = "R";isnumber(match(c118;a$1:a$1000;0));isnumber(match(h118;a$1:a$1000;0));isnumber(match(d118;a$1:a$1000;0));isnumber(match(i118;a$1:a$1000;0));isnumber(match(e118;a$1:a$1000;0));isnumber(match(j118;a$1:a$1000;0));isnumber(match(f118;a$1:a$1000;0));isnumber(match(k118;a$1:a$1000;0));isnumber(match(g118;a$1:a$1000;0));isnumber(match(l118;a$1:a$1000;0)));0;p118)	From Tree node	0003	27	""	""	1	21	30
118	""	0.562130177514793	0.293040293040293	0.360613810741688	0.414634146341463						""	""	""	""	""	=if(or(A118 = "R";isnumber(match(c118;a$1:a$1000;0));isnumber(match(h118;a$1:a$1000;0));isnumber(match(d118;a$1:a$1000;0));isnumber(match(i118;a$1:a$1000;0));isnumber(match(e118;a$1:a$1000;0));isnumber(match(j118;a$1:a$1000;0));isnumber(match(f118;a$1:a$1000;0));isnumber(match(k118;a$1:a$1000;0));isnumber(match(g118;a$1:a$1000;0));isnumber(match(l118;a$1:a$1000;0)));0;p118)	From Tree node	0003	27	""	""	""	""	""
119	""	-0.412280701754386	-0.7	-0.522727272727273	-0.524271844660194						""	""	""	""	""	=if(or(A118 = "R";isnumber(match(c118;a$1:a$1000;0));isnumber(match(h118;a$1:a$1000;0));isnumber(match(d118;a$1:a$1000;0));isnumber(match(i118;a$1:a$1000;0));isnumber(match(e118;a$1:a$1000;0));isnumber(match(j118;a$1:a$1000;0));isnumber(match(f118;a$1:a$1000;0));isnumber(match(k118;a$1:a$1000;0));isnumber(match(g118;a$1:a$1000;0));isnumber(match(l118;a$1:a$1000;0)));0;p118)	From Tree node	0003	27	""	""	""	""	""
