trivials	empty	rule	c2	c3	c4	c5	f1	f2	f3	f4	f5	covPostCases	confidence	lift	globalQuality	withoutTrivial	optimised	iteration	treeNode	simplification	oneCatAltIndex	extLength	covPostCases2	support
2100	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A2098 = "R";isnumber(match(c2098;a$1:a$1000;0));isnumber(match(h2098;a$1:a$1000;0));isnumber(match(d2098;a$1:a$1000;0));isnumber(match(i2098;a$1:a$1000;0));isnumber(match(e2098;a$1:a$1000;0));isnumber(match(j2098;a$1:a$1000;0));isnumber(match(f2098;a$1:a$1000;0));isnumber(match(k2098;a$1:a$1000;0));isnumber(match(g2098;a$1:a$1000;0));isnumber(match(l2098;a$1:a$1000;0)));0;p2098)	ShorterRule	0001123	39	1	1	""	""	""
2101	""	Proline< 882.5	Alcohol>=12.44	Magnesium>=87.5	Proline>=730	Magnesium< 107.5	Proline	Alcohol	Magnesium	Proline	Magnesium	0.125	0.75	2.78	0.09375	=if(or(A2102 = "R";isnumber(match(c2102;a$1:a$1000;0));isnumber(match(h2102;a$1:a$1000;0));isnumber(match(d2102;a$1:a$1000;0));isnumber(match(i2102;a$1:a$1000;0));isnumber(match(e2102;a$1:a$1000;0));isnumber(match(j2102;a$1:a$1000;0));isnumber(match(f2102;a$1:a$1000;0));isnumber(match(k2102;a$1:a$1000;0));isnumber(match(g2102;a$1:a$1000;0));isnumber(match(l2102;a$1:a$1000;0)));0;p2102)	From Tree node	0000000002	61	""	""	1	6	8
2102	""	0.380952380952381	0.357723577235772	0.305555555555556	0.123287671232877	0.283582089552239					""	""	""	""	""	=if(or(A2102 = "R";isnumber(match(c2102;a$1:a$1000;0));isnumber(match(h2102;a$1:a$1000;0));isnumber(match(d2102;a$1:a$1000;0));isnumber(match(i2102;a$1:a$1000;0));isnumber(match(e2102;a$1:a$1000;0));isnumber(match(j2102;a$1:a$1000;0));isnumber(match(f2102;a$1:a$1000;0));isnumber(match(k2102;a$1:a$1000;0));isnumber(match(g2102;a$1:a$1000;0));isnumber(match(l2102;a$1:a$1000;0)));0;p2102)	From Tree node	0000000002	61	""	""	""	""	""
2103	""	-0.153846153846154	-0.666666666666667	-0.75	-0.775	-0.444444444444444					""	""	""	""	""	=if(or(A2102 = "R";isnumber(match(c2102;a$1:a$1000;0));isnumber(match(h2102;a$1:a$1000;0));isnumber(match(d2102;a$1:a$1000;0));isnumber(match(i2102;a$1:a$1000;0));isnumber(match(e2102;a$1:a$1000;0));isnumber(match(j2102;a$1:a$1000;0));isnumber(match(f2102;a$1:a$1000;0));isnumber(match(k2102;a$1:a$1000;0));isnumber(match(g2102;a$1:a$1000;0));isnumber(match(l2102;a$1:a$1000;0)));0;p2102)	From Tree node	0000000002	61	""	""	""	""	""
2104	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A2102 = "R";isnumber(match(c2102;a$1:a$1000;0));isnumber(match(h2102;a$1:a$1000;0));isnumber(match(d2102;a$1:a$1000;0));isnumber(match(i2102;a$1:a$1000;0));isnumber(match(e2102;a$1:a$1000;0));isnumber(match(j2102;a$1:a$1000;0));isnumber(match(f2102;a$1:a$1000;0));isnumber(match(k2102;a$1:a$1000;0));isnumber(match(g2102;a$1:a$1000;0));isnumber(match(l2102;a$1:a$1000;0)));0;p2102)	From Tree node	0000000002	61	""	""	""	""	""
2105	""	Proanthocyanins>=1.305	NonflavanoidsPhenols>=0.425	Proanthocyanins< 1.59	Ash>=2.265	Ash>=2.315	Proanthocyanins	NonflavanoidsPhenols	Proanthocyanins	Ash	Ash	0.125	0.75	2.78	0.09375	=if(or(A2106 = "R";isnumber(match(c2106;a$1:a$1000;0));isnumber(match(h2106;a$1:a$1000;0));isnumber(match(d2106;a$1:a$1000;0));isnumber(match(i2106;a$1:a$1000;0));isnumber(match(e2106;a$1:a$1000;0));isnumber(match(j2106;a$1:a$1000;0));isnumber(match(f2106;a$1:a$1000;0));isnumber(match(k2106;a$1:a$1000;0));isnumber(match(g2106;a$1:a$1000;0));isnumber(match(l2106;a$1:a$1000;0)));0;p2106)	From Tree node	000000222	45	""	""	1	6	8
2106	""	0.103174603174603	0.553571428571429	0.478723404255319	0.319672131147541	0.346534653465347					""	""	""	""	""	=if(or(A2106 = "R";isnumber(match(c2106;a$1:a$1000;0));isnumber(match(h2106;a$1:a$1000;0));isnumber(match(d2106;a$1:a$1000;0));isnumber(match(i2106;a$1:a$1000;0));isnumber(match(e2106;a$1:a$1000;0));isnumber(match(j2106;a$1:a$1000;0));isnumber(match(f2106;a$1:a$1000;0));isnumber(match(k2106;a$1:a$1000;0));isnumber(match(g2106;a$1:a$1000;0));isnumber(match(l2106;a$1:a$1000;0)));0;p2106)	From Tree node	000000222	45	""	""	""	""	""
2107	""	-0.769230769230769	-0.347826086956522	-0.421052631578947	-0.75	-0.6					""	""	""	""	""	=if(or(A2106 = "R";isnumber(match(c2106;a$1:a$1000;0));isnumber(match(h2106;a$1:a$1000;0));isnumber(match(d2106;a$1:a$1000;0));isnumber(match(i2106;a$1:a$1000;0));isnumber(match(e2106;a$1:a$1000;0));isnumber(match(j2106;a$1:a$1000;0));isnumber(match(f2106;a$1:a$1000;0));isnumber(match(k2106;a$1:a$1000;0));isnumber(match(g2106;a$1:a$1000;0));isnumber(match(l2106;a$1:a$1000;0)));0;p2106)	From Tree node	000000222	45	""	""	""	""	""
2108	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A2106 = "R";isnumber(match(c2106;a$1:a$1000;0));isnumber(match(h2106;a$1:a$1000;0));isnumber(match(d2106;a$1:a$1000;0));isnumber(match(i2106;a$1:a$1000;0));isnumber(match(e2106;a$1:a$1000;0));isnumber(match(j2106;a$1:a$1000;0));isnumber(match(f2106;a$1:a$1000;0));isnumber(match(k2106;a$1:a$1000;0));isnumber(match(g2106;a$1:a$1000;0));isnumber(match(l2106;a$1:a$1000;0)));0;p2106)	From Tree node	000000222	45	""	""	""	""	""
2109	""	AlcalinityOfAsh>=23.8	Proline>=516	AlcalinityOfAsh< 25.5	" "	" "	AlcalinityOfAsh	Proline	AlcalinityOfAsh	" "	" "	0.125	0.75	2.78	0.09375	=if(or(A2110 = "R";isnumber(match(c2110;a$1:a$1000;0));isnumber(match(h2110;a$1:a$1000;0));isnumber(match(d2110;a$1:a$1000;0));isnumber(match(i2110;a$1:a$1000;0));isnumber(match(e2110;a$1:a$1000;0));isnumber(match(j2110;a$1:a$1000;0));isnumber(match(f2110;a$1:a$1000;0));isnumber(match(k2110;a$1:a$1000;0));isnumber(match(g2110;a$1:a$1000;0));isnumber(match(l2110;a$1:a$1000;0)));0;p2110)	Simplified	0001113	23	1	""	1	6	8
