trivials	empty	rule	c2	c3	c4	c5	f1	f2	f3	f4	f5	covPostCases	confidence	lift	globalQuality	withoutTrivial	optimised	iteration	treeNode	simplification	oneCatAltIndex	extLength	covPostCases2	support
394	""	0.5	0.114754098360656	0.0755355129650507							""	""	""	""	""	=if(or(A394 = "R";isnumber(match(c394;a$1:a$1000;0));isnumber(match(h394;a$1:a$1000;0));isnumber(match(d394;a$1:a$1000;0));isnumber(match(i394;a$1:a$1000;0));isnumber(match(e394;a$1:a$1000;0));isnumber(match(j394;a$1:a$1000;0));isnumber(match(f394;a$1:a$1000;0));isnumber(match(k394;a$1:a$1000;0));isnumber(match(g394;a$1:a$1000;0));isnumber(match(l394;a$1:a$1000;0)));0;p394)	ShorterRule	012222	39	1	1	""	""	""
395	""	-0.0919931856899489	-0.488372093023256	-0.806451612903226							""	""	""	""	""	=if(or(A394 = "R";isnumber(match(c394;a$1:a$1000;0));isnumber(match(h394;a$1:a$1000;0));isnumber(match(d394;a$1:a$1000;0));isnumber(match(i394;a$1:a$1000;0));isnumber(match(e394;a$1:a$1000;0));isnumber(match(j394;a$1:a$1000;0));isnumber(match(f394;a$1:a$1000;0));isnumber(match(k394;a$1:a$1000;0));isnumber(match(g394;a$1:a$1000;0));isnumber(match(l394;a$1:a$1000;0)));0;p394)	ShorterRule	012222	39	1	1	""	""	""
396	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A394 = "R";isnumber(match(c394;a$1:a$1000;0));isnumber(match(h394;a$1:a$1000;0));isnumber(match(d394;a$1:a$1000;0));isnumber(match(i394;a$1:a$1000;0));isnumber(match(e394;a$1:a$1000;0));isnumber(match(j394;a$1:a$1000;0));isnumber(match(f394;a$1:a$1000;0));isnumber(match(k394;a$1:a$1000;0));isnumber(match(g394;a$1:a$1000;0));isnumber(match(l394;a$1:a$1000;0)));0;p394)	ShorterRule	012222	39	1	1	""	""	""
397	""	F5< 1.617	F4>=0.549	F5>=0.9465	" "	" "	F5	F4	F5	" "	" "	0.288888888888889	0.702702702702703	7.71	0.203003003003003	=if(or(A398 = "R";isnumber(match(c398;a$1:a$1000;0));isnumber(match(h398;a$1:a$1000;0));isnumber(match(d398;a$1:a$1000;0));isnumber(match(i398;a$1:a$1000;0));isnumber(match(e398;a$1:a$1000;0));isnumber(match(j398;a$1:a$1000;0));isnumber(match(f398;a$1:a$1000;0));isnumber(match(k398;a$1:a$1000;0));isnumber(match(g398;a$1:a$1000;0));isnumber(match(l398;a$1:a$1000;0)));0;p398)	Simplified	0233344	19	1	""	1	26	37
398	""	0.0588876772082879	0.310679611650485	0.23943661971831							""	""	""	""	""	=if(or(A398 = "R";isnumber(match(c398;a$1:a$1000;0));isnumber(match(h398;a$1:a$1000;0));isnumber(match(d398;a$1:a$1000;0));isnumber(match(i398;a$1:a$1000;0));isnumber(match(e398;a$1:a$1000;0));isnumber(match(j398;a$1:a$1000;0));isnumber(match(f398;a$1:a$1000;0));isnumber(match(k398;a$1:a$1000;0));isnumber(match(g398;a$1:a$1000;0));isnumber(match(l398;a$1:a$1000;0)));0;p398)	Simplified	0233344	19	1	""	""	""	""
399	""	-0.666666666666667	-0.150234741784038	-0.306122448979592							""	""	""	""	""	=if(or(A398 = "R";isnumber(match(c398;a$1:a$1000;0));isnumber(match(h398;a$1:a$1000;0));isnumber(match(d398;a$1:a$1000;0));isnumber(match(i398;a$1:a$1000;0));isnumber(match(e398;a$1:a$1000;0));isnumber(match(j398;a$1:a$1000;0));isnumber(match(f398;a$1:a$1000;0));isnumber(match(k398;a$1:a$1000;0));isnumber(match(g398;a$1:a$1000;0));isnumber(match(l398;a$1:a$1000;0)));0;p398)	Simplified	0233344	19	1	""	""	""	""
400	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A398 = "R";isnumber(match(c398;a$1:a$1000;0));isnumber(match(h398;a$1:a$1000;0));isnumber(match(d398;a$1:a$1000;0));isnumber(match(i398;a$1:a$1000;0));isnumber(match(e398;a$1:a$1000;0));isnumber(match(j398;a$1:a$1000;0));isnumber(match(f398;a$1:a$1000;0));isnumber(match(k398;a$1:a$1000;0));isnumber(match(g398;a$1:a$1000;0));isnumber(match(l398;a$1:a$1000;0)));0;p398)	Simplified	0233344	19	1	""	""	""	""
401	""	F3>=0.8335	F3< 1.704	F8< -1.146	F9< 0.4175	" "	F3	F3	F8	F9	" "	0.222222222222222	0.909090909090909	9.98	0.202020202020202	=if(or(A402 = "R";isnumber(match(c402;a$1:a$1000;0));isnumber(match(h402;a$1:a$1000;0));isnumber(match(d402;a$1:a$1000;0));isnumber(match(i402;a$1:a$1000;0));isnumber(match(e402;a$1:a$1000;0));isnumber(match(j402;a$1:a$1000;0));isnumber(match(f402;a$1:a$1000;0));isnumber(match(k402;a$1:a$1000;0));isnumber(match(g402;a$1:a$1000;0));isnumber(match(l402;a$1:a$1000;0)));0;p402)	Simplified	002	59	1	""	1	20	22
402	""	0.235820895522388	0.0661605206073753	0.283783783783784	0.0857519788918206						""	""	""	""	""	=if(or(A402 = "R";isnumber(match(c402;a$1:a$1000;0));isnumber(match(h402;a$1:a$1000;0));isnumber(match(d402;a$1:a$1000;0));isnumber(match(i402;a$1:a$1000;0));isnumber(match(e402;a$1:a$1000;0));isnumber(match(j402;a$1:a$1000;0));isnumber(match(f402;a$1:a$1000;0));isnumber(match(k402;a$1:a$1000;0));isnumber(match(g402;a$1:a$1000;0));isnumber(match(l402;a$1:a$1000;0)));0;p402)	Simplified	002	59	1	""	""	""	""
403	""	-0.375	-0.769230769230769	-0.224242424242424	-0.740740740740741						""	""	""	""	""	=if(or(A402 = "R";isnumber(match(c402;a$1:a$1000;0));isnumber(match(h402;a$1:a$1000;0));isnumber(match(d402;a$1:a$1000;0));isnumber(match(i402;a$1:a$1000;0));isnumber(match(e402;a$1:a$1000;0));isnumber(match(j402;a$1:a$1000;0));isnumber(match(f402;a$1:a$1000;0));isnumber(match(k402;a$1:a$1000;0));isnumber(match(g402;a$1:a$1000;0));isnumber(match(l402;a$1:a$1000;0)));0;p402)	Simplified	002	59	1	""	""	""	""
404	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A402 = "R";isnumber(match(c402;a$1:a$1000;0));isnumber(match(h402;a$1:a$1000;0));isnumber(match(d402;a$1:a$1000;0));isnumber(match(i402;a$1:a$1000;0));isnumber(match(e402;a$1:a$1000;0));isnumber(match(j402;a$1:a$1000;0));isnumber(match(f402;a$1:a$1000;0));isnumber(match(k402;a$1:a$1000;0));isnumber(match(g402;a$1:a$1000;0));isnumber(match(l402;a$1:a$1000;0)));0;p402)	Simplified	002	59	1	""	""	""	""
405	""	F1< 0.407	F1>=-0.1235	F9< -0.435	F8< -0.155	" "	F1	F1	F9	F8	" "	0.211111111111111	0.95	10.43	0.200555555555556	=if(or(A406 = "R";isnumber(match(c406;a$1:a$1000;0));isnumber(match(h406;a$1:a$1000;0));isnumber(match(d406;a$1:a$1000;0));isnumber(match(i406;a$1:a$1000;0));isnumber(match(e406;a$1:a$1000;0));isnumber(match(j406;a$1:a$1000;0));isnumber(match(f406;a$1:a$1000;0));isnumber(match(k406;a$1:a$1000;0));isnumber(match(g406;a$1:a$1000;0));isnumber(match(l406;a$1:a$1000;0)));0;p406)	From Tree node	11	27	""	""	1	19	20
406	""	0.675675675675676	0.0456960680127524	0.14968152866242	0.126666666666667						""	""	""	""	""	=if(or(A406 = "R";isnumber(match(c406;a$1:a$1000;0));isnumber(match(h406;a$1:a$1000;0));isnumber(match(d406;a$1:a$1000;0));isnumber(match(i406;a$1:a$1000;0));isnumber(match(e406;a$1:a$1000;0));isnumber(match(j406;a$1:a$1000;0));isnumber(match(f406;a$1:a$1000;0));isnumber(match(k406;a$1:a$1000;0));isnumber(match(g406;a$1:a$1000;0));isnumber(match(l406;a$1:a$1000;0)));0;p406)	From Tree node	11	27	""	""	""	""	""
407	""	-0.129032258064516	-0.976744186046512	-0.622222222222222	-0.826086956521739						""	""	""	""	""	=if(or(A406 = "R";isnumber(match(c406;a$1:a$1000;0));isnumber(match(h406;a$1:a$1000;0));isnumber(match(d406;a$1:a$1000;0));isnumber(match(i406;a$1:a$1000;0));isnumber(match(e406;a$1:a$1000;0));isnumber(match(j406;a$1:a$1000;0));isnumber(match(f406;a$1:a$1000;0));isnumber(match(k406;a$1:a$1000;0));isnumber(match(g406;a$1:a$1000;0));isnumber(match(l406;a$1:a$1000;0)));0;p406)	From Tree node	11	27	""	""	""	""	""
408	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A406 = "R";isnumber(match(c406;a$1:a$1000;0));isnumber(match(h406;a$1:a$1000;0));isnumber(match(d406;a$1:a$1000;0));isnumber(match(i406;a$1:a$1000;0));isnumber(match(e406;a$1:a$1000;0));isnumber(match(j406;a$1:a$1000;0));isnumber(match(f406;a$1:a$1000;0));isnumber(match(k406;a$1:a$1000;0));isnumber(match(g406;a$1:a$1000;0));isnumber(match(l406;a$1:a$1000;0)));0;p406)	From Tree node	11	27	""	""	""	""	""
409	""	F5< 1.617	F2< 1.086	F7< -0.6965	F4>=0.286	" "	F5	F2	F7	F4	" "	0.2	1	10.98	0.2	=if(or(A410 = "R";isnumber(match(c410;a$1:a$1000;0));isnumber(match(h410;a$1:a$1000;0));isnumber(match(d410;a$1:a$1000;0));isnumber(match(i410;a$1:a$1000;0));isnumber(match(e410;a$1:a$1000;0));isnumber(match(j410;a$1:a$1000;0));isnumber(match(f410;a$1:a$1000;0));isnumber(match(k410;a$1:a$1000;0));isnumber(match(g410;a$1:a$1000;0));isnumber(match(l410;a$1:a$1000;0)));0;p410)	From Tree node	0	19	""	""	1	18	18
410	""	0.0588876772082879	0.0790554414784394	0.692307692307692	0.221621621621622						""	""	""	""	""	=if(or(A410 = "R";isnumber(match(c410;a$1:a$1000;0));isnumber(match(h410;a$1:a$1000;0));isnumber(match(d410;a$1:a$1000;0));isnumber(match(i410;a$1:a$1000;0));isnumber(match(e410;a$1:a$1000;0));isnumber(match(j410;a$1:a$1000;0));isnumber(match(f410;a$1:a$1000;0));isnumber(match(k410;a$1:a$1000;0));isnumber(match(g410;a$1:a$1000;0));isnumber(match(l410;a$1:a$1000;0)));0;p410)	From Tree node	0	19	""	""	""	""	""
411	""	-1	-1	-0.202312138728324	-0.692307692307692						""	""	""	""	""	=if(or(A410 = "R";isnumber(match(c410;a$1:a$1000;0));isnumber(match(h410;a$1:a$1000;0));isnumber(match(d410;a$1:a$1000;0));isnumber(match(i410;a$1:a$1000;0));isnumber(match(e410;a$1:a$1000;0));isnumber(match(j410;a$1:a$1000;0));isnumber(match(f410;a$1:a$1000;0));isnumber(match(k410;a$1:a$1000;0));isnumber(match(g410;a$1:a$1000;0));isnumber(match(l410;a$1:a$1000;0)));0;p410)	From Tree node	0	19	""	""	""	""	""
412	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A410 = "R";isnumber(match(c410;a$1:a$1000;0));isnumber(match(h410;a$1:a$1000;0));isnumber(match(d410;a$1:a$1000;0));isnumber(match(i410;a$1:a$1000;0));isnumber(match(e410;a$1:a$1000;0));isnumber(match(j410;a$1:a$1000;0));isnumber(match(f410;a$1:a$1000;0));isnumber(match(k410;a$1:a$1000;0));isnumber(match(g410;a$1:a$1000;0));isnumber(match(l410;a$1:a$1000;0)));0;p410)	From Tree node	0	19	""	""	""	""	""
413	""	F2< 1.086	F7< -0.6965	F4>=0.286	" "	" "	F2	F7	F4	" "	" "	0.2	1	10.98	0.2	=if(or(A414 = "R";isnumber(match(c414;a$1:a$1000;0));isnumber(match(h414;a$1:a$1000;0));isnumber(match(d414;a$1:a$1000;0));isnumber(match(i414;a$1:a$1000;0));isnumber(match(e414;a$1:a$1000;0));isnumber(match(j414;a$1:a$1000;0));isnumber(match(f414;a$1:a$1000;0));isnumber(match(k414;a$1:a$1000;0));isnumber(match(g414;a$1:a$1000;0));isnumber(match(l414;a$1:a$1000;0)));0;p414)	From Tree node	000	11	""	""	1	18	18
414	""	0.0790554414784394	0.692307692307692	0.221621621621622							""	""	""	""	""	=if(or(A414 = "R";isnumber(match(c414;a$1:a$1000;0));isnumber(match(h414;a$1:a$1000;0));isnumber(match(d414;a$1:a$1000;0));isnumber(match(i414;a$1:a$1000;0));isnumber(match(e414;a$1:a$1000;0));isnumber(match(j414;a$1:a$1000;0));isnumber(match(f414;a$1:a$1000;0));isnumber(match(k414;a$1:a$1000;0));isnumber(match(g414;a$1:a$1000;0));isnumber(match(l414;a$1:a$1000;0)));0;p414)	From Tree node	000	11	""	""	""	""	""
415	""	-1	-0.204419889502762	-0.692307692307692							""	""	""	""	""	=if(or(A414 = "R";isnumber(match(c414;a$1:a$1000;0));isnumber(match(h414;a$1:a$1000;0));isnumber(match(d414;a$1:a$1000;0));isnumber(match(i414;a$1:a$1000;0));isnumber(match(e414;a$1:a$1000;0));isnumber(match(j414;a$1:a$1000;0));isnumber(match(f414;a$1:a$1000;0));isnumber(match(k414;a$1:a$1000;0));isnumber(match(g414;a$1:a$1000;0));isnumber(match(l414;a$1:a$1000;0)));0;p414)	From Tree node	000	11	""	""	""	""	""
416	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A414 = "R";isnumber(match(c414;a$1:a$1000;0));isnumber(match(h414;a$1:a$1000;0));isnumber(match(d414;a$1:a$1000;0));isnumber(match(i414;a$1:a$1000;0));isnumber(match(e414;a$1:a$1000;0));isnumber(match(j414;a$1:a$1000;0));isnumber(match(f414;a$1:a$1000;0));isnumber(match(k414;a$1:a$1000;0));isnumber(match(g414;a$1:a$1000;0));isnumber(match(l414;a$1:a$1000;0)));0;p414)	From Tree node	000	11	""	""	""	""	""
417	""	F7< -0.6965	F4>=0.286	" "	" "	" "	F7	F4	" "	" "	" "	0.2	1	10.98	0.2	=if(or(A418 = "R";isnumber(match(c418;a$1:a$1000;0));isnumber(match(h418;a$1:a$1000;0));isnumber(match(d418;a$1:a$1000;0));isnumber(match(i418;a$1:a$1000;0));isnumber(match(e418;a$1:a$1000;0));isnumber(match(j418;a$1:a$1000;0));isnumber(match(f418;a$1:a$1000;0));isnumber(match(k418;a$1:a$1000;0));isnumber(match(g418;a$1:a$1000;0));isnumber(match(l418;a$1:a$1000;0)));0;p418)	From Tree node	0000	7	""	""	1	18	18
418	""	0.692307692307692	0.221621621621622								""	""	""	""	""	=if(or(A418 = "R";isnumber(match(c418;a$1:a$1000;0));isnumber(match(h418;a$1:a$1000;0));isnumber(match(d418;a$1:a$1000;0));isnumber(match(i418;a$1:a$1000;0));isnumber(match(e418;a$1:a$1000;0));isnumber(match(j418;a$1:a$1000;0));isnumber(match(f418;a$1:a$1000;0));isnumber(match(k418;a$1:a$1000;0));isnumber(match(g418;a$1:a$1000;0));isnumber(match(l418;a$1:a$1000;0)));0;p418)	From Tree node	0000	7	""	""	""	""	""
419	""	-0.221621621621622	-0.692307692307692								""	""	""	""	""	=if(or(A418 = "R";isnumber(match(c418;a$1:a$1000;0));isnumber(match(h418;a$1:a$1000;0));isnumber(match(d418;a$1:a$1000;0));isnumber(match(i418;a$1:a$1000;0));isnumber(match(e418;a$1:a$1000;0));isnumber(match(j418;a$1:a$1000;0));isnumber(match(f418;a$1:a$1000;0));isnumber(match(k418;a$1:a$1000;0));isnumber(match(g418;a$1:a$1000;0));isnumber(match(l418;a$1:a$1000;0)));0;p418)	From Tree node	0000	7	""	""	""	""	""
420	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A418 = "R";isnumber(match(c418;a$1:a$1000;0));isnumber(match(h418;a$1:a$1000;0));isnumber(match(d418;a$1:a$1000;0));isnumber(match(i418;a$1:a$1000;0));isnumber(match(e418;a$1:a$1000;0));isnumber(match(j418;a$1:a$1000;0));isnumber(match(f418;a$1:a$1000;0));isnumber(match(k418;a$1:a$1000;0));isnumber(match(g418;a$1:a$1000;0));isnumber(match(l418;a$1:a$1000;0)));0;p418)	From Tree node	0000	7	""	""	""	""	""
421	""	F2< 1.086	F7< -0.6965	F2>=-0.7425	F8< -0.16	" "	F2	F7	F2	F8	" "	0.2	1	10.98	0.2	=if(or(A422 = "R";isnumber(match(c422;a$1:a$1000;0));isnumber(match(h422;a$1:a$1000;0));isnumber(match(d422;a$1:a$1000;0));isnumber(match(i422;a$1:a$1000;0));isnumber(match(e422;a$1:a$1000;0));isnumber(match(j422;a$1:a$1000;0));isnumber(match(f422;a$1:a$1000;0));isnumber(match(k422;a$1:a$1000;0));isnumber(match(g422;a$1:a$1000;0));isnumber(match(l422;a$1:a$1000;0)));0;p422)	From Tree node	00022	23	""	""	1	18	18
422	""	0.0790554414784394	0.692307692307692	0.0988274706867672	0.127303182579564						""	""	""	""	""	=if(or(A422 = "R";isnumber(match(c422;a$1:a$1000;0));isnumber(match(h422;a$1:a$1000;0));isnumber(match(d422;a$1:a$1000;0));isnumber(match(i422;a$1:a$1000;0));isnumber(match(e422;a$1:a$1000;0));isnumber(match(j422;a$1:a$1000;0));isnumber(match(f422;a$1:a$1000;0));isnumber(match(k422;a$1:a$1000;0));isnumber(match(g422;a$1:a$1000;0));isnumber(match(l422;a$1:a$1000;0)));0;p422)	From Tree node	00022	23	""	""	""	""	""
423	""	-1	-0.142414860681115	-0.818181818181818	-0.818181818181818						""	""	""	""	""	=if(or(A422 = "R";isnumber(match(c422;a$1:a$1000;0));isnumber(match(h422;a$1:a$1000;0));isnumber(match(d422;a$1:a$1000;0));isnumber(match(i422;a$1:a$1000;0));isnumber(match(e422;a$1:a$1000;0));isnumber(match(j422;a$1:a$1000;0));isnumber(match(f422;a$1:a$1000;0));isnumber(match(k422;a$1:a$1000;0));isnumber(match(g422;a$1:a$1000;0));isnumber(match(l422;a$1:a$1000;0)));0;p422)	From Tree node	00022	23	""	""	""	""	""
424	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A422 = "R";isnumber(match(c422;a$1:a$1000;0));isnumber(match(h422;a$1:a$1000;0));isnumber(match(d422;a$1:a$1000;0));isnumber(match(i422;a$1:a$1000;0));isnumber(match(e422;a$1:a$1000;0));isnumber(match(j422;a$1:a$1000;0));isnumber(match(f422;a$1:a$1000;0));isnumber(match(k422;a$1:a$1000;0));isnumber(match(g422;a$1:a$1000;0));isnumber(match(l422;a$1:a$1000;0)));0;p422)	From Tree node	00022	23	""	""	""	""	""
425	""	F5< 1.617	F7< -0.6965	F4>=0.286	" "	" "	F5	F7	F4	" "	" "	0.2	1	10.98	0.2	=if(or(A426 = "R";isnumber(match(c426;a$1:a$1000;0));isnumber(match(h426;a$1:a$1000;0));isnumber(match(d426;a$1:a$1000;0));isnumber(match(i426;a$1:a$1000;0));isnumber(match(e426;a$1:a$1000;0));isnumber(match(j426;a$1:a$1000;0));isnumber(match(f426;a$1:a$1000;0));isnumber(match(k426;a$1:a$1000;0));isnumber(match(g426;a$1:a$1000;0));isnumber(match(l426;a$1:a$1000;0)));0;p426)	From Tree node	01	11	""	""	1	18	18
426	""	0.0588876772082879	0.692307692307692	0.221621621621622							""	""	""	""	""	=if(or(A426 = "R";isnumber(match(c426;a$1:a$1000;0));isnumber(match(h426;a$1:a$1000;0));isnumber(match(d426;a$1:a$1000;0));isnumber(match(i426;a$1:a$1000;0));isnumber(match(e426;a$1:a$1000;0));isnumber(match(j426;a$1:a$1000;0));isnumber(match(f426;a$1:a$1000;0));isnumber(match(k426;a$1:a$1000;0));isnumber(match(g426;a$1:a$1000;0));isnumber(match(l426;a$1:a$1000;0)));0;p426)	From Tree node	01	11	""	""	""	""	""
427	""	-1	-0.220338983050847	-0.692307692307692							""	""	""	""	""	=if(or(A426 = "R";isnumber(match(c426;a$1:a$1000;0));isnumber(match(h426;a$1:a$1000;0));isnumber(match(d426;a$1:a$1000;0));isnumber(match(i426;a$1:a$1000;0));isnumber(match(e426;a$1:a$1000;0));isnumber(match(j426;a$1:a$1000;0));isnumber(match(f426;a$1:a$1000;0));isnumber(match(k426;a$1:a$1000;0));isnumber(match(g426;a$1:a$1000;0));isnumber(match(l426;a$1:a$1000;0)));0;p426)	From Tree node	01	11	""	""	""	""	""
428	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A426 = "R";isnumber(match(c426;a$1:a$1000;0));isnumber(match(h426;a$1:a$1000;0));isnumber(match(d426;a$1:a$1000;0));isnumber(match(i426;a$1:a$1000;0));isnumber(match(e426;a$1:a$1000;0));isnumber(match(j426;a$1:a$1000;0));isnumber(match(f426;a$1:a$1000;0));isnumber(match(k426;a$1:a$1000;0));isnumber(match(g426;a$1:a$1000;0));isnumber(match(l426;a$1:a$1000;0)));0;p426)	From Tree node	01	11	""	""	""	""	""
429	""	F5>=1.617	F8< -0.8475	F0>=-3.266	" "	" "	F5	F8	F0	" "	" "	0.2	1	10.98	0.2	=if(or(A430 = "R";isnumber(match(c430;a$1:a$1000;0));isnumber(match(h430;a$1:a$1000;0));isnumber(match(d430;a$1:a$1000;0));isnumber(match(i430;a$1:a$1000;0));isnumber(match(e430;a$1:a$1000;0));isnumber(match(j430;a$1:a$1000;0));isnumber(match(f430;a$1:a$1000;0));isnumber(match(k430;a$1:a$1000;0));isnumber(match(g430;a$1:a$1000;0));isnumber(match(l430;a$1:a$1000;0)));0;p430)	From Tree node	011112	15	""	""	1	18	18
