Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	3.000000	0.622255	131.752029	0.207495	0.981265	0.984234	0.612006	0.579957	0.979934	0.983529
001   	000	-	8.000000	0.000000	0.000000	0.000000	0.500000	0.002252	0.000000	0.000163	1.000000	0.000000
002   	000	-	3.000000	0.724744	50.762093	0.155511	0.863179	0.986486	0.626647	0.596388	0.871198	0.864646
003   	001	-	2.000000	0.237189	125.680862	0.146869	0.963415	0.702929	0.229868	0.218643	0.971098	0.969136
004   	001	-	2.000000	0.147877	82.507637	0.093203	0.970874	0.594142	0.144949	0.138604	0.982699	0.980198
005   	001	-	2.000000	0.163982	70.103371	0.093423	0.912281	0.702929	0.150805	0.156499	0.799003	0.919643
006   	001	-	3.000000	0.036603	9.245189	0.016474	0.777778	0.368201	0.029283	0.057264	0.748937	0.800000
-    	- 	007	3.285714	0.276093	67.150169	0.101854	0.852684	0.620168	0.967789	0.249645	0.907553	0.788165
