#Rule	#Vars	Cov	Sign	Unus	Supp	Cnf
0	11.000	0.000	0.000	0.000	0.000	0.000
1	10.000	0.000	0.000	0.000	0.000	0.000
2	4.000	0.021	29.491	0.033	0.179	0.861
3	5.000	0.000	0.000	0.000	0.000	0.000
4	5.000	0.000	0.000	0.000	0.000	0.000
5	10.000	0.000	0.000	0.000	0.000	0.000
6	9.000	0.000	0.000	0.000	0.000	0.000
7	8.000	0.000	0.000	0.000	0.000	0.000
8	9.000	0.000	0.000	0.000	0.000	0.000
9	9.000	0.000	0.000	0.000	0.000	0.000
-	8.000	0.002	2.949	0.003	0.018	0.086
