trivials	empty	rule	c2	c3	c4	c5	f1	f2	f3	f4	f5	covPostCases	confidence	lift	globalQuality	withoutTrivial	optimised	iteration	treeNode	simplification	oneCatAltIndex	extLength	covPostCases2	support
292	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A290 = "R";isnumber(match(c290;a$1:a$1000;0));isnumber(match(h290;a$1:a$1000;0));isnumber(match(d290;a$1:a$1000;0));isnumber(match(i290;a$1:a$1000;0));isnumber(match(e290;a$1:a$1000;0));isnumber(match(j290;a$1:a$1000;0));isnumber(match(f290;a$1:a$1000;0));isnumber(match(k290;a$1:a$1000;0));isnumber(match(g290;a$1:a$1000;0));isnumber(match(l290;a$1:a$1000;0)));0;p290)	From Tree node	000000	11	""	""	""	""	""
293	""	A14< 493	A5>=8.5	A7>=168	A3>=135	" "	A14	A5	A7	A3	" "	0.107491856677524	0.825	1.85	0.0886807817589577	=if(or(A294 = "R";isnumber(match(c294;a$1:a$1000;0));isnumber(match(h294;a$1:a$1000;0));isnumber(match(d294;a$1:a$1000;0));isnumber(match(i294;a$1:a$1000;0));isnumber(match(e294;a$1:a$1000;0));isnumber(match(j294;a$1:a$1000;0));isnumber(match(f294;a$1:a$1000;0));isnumber(match(k294;a$1:a$1000;0));isnumber(match(g294;a$1:a$1000;0));isnumber(match(l294;a$1:a$1000;0)));0;p294)	From Tree node	0002	23	""	""	1	33	40
294	""	0.339015151515151	0.646586345381526	0.609375	0.439628482972136						""	""	""	""	""	=if(or(A294 = "R";isnumber(match(c294;a$1:a$1000;0));isnumber(match(h294;a$1:a$1000;0));isnumber(match(d294;a$1:a$1000;0));isnumber(match(i294;a$1:a$1000;0));isnumber(match(e294;a$1:a$1000;0));isnumber(match(j294;a$1:a$1000;0));isnumber(match(f294;a$1:a$1000;0));isnumber(match(k294;a$1:a$1000;0));isnumber(match(g294;a$1:a$1000;0));isnumber(match(l294;a$1:a$1000;0)));0;p294)	From Tree node	0002	23	""	""	""	""	""
295	""	-0.867924528301887	-0.604938271604938	-0.590909090909091	-0.6875						""	""	""	""	""	=if(or(A294 = "R";isnumber(match(c294;a$1:a$1000;0));isnumber(match(h294;a$1:a$1000;0));isnumber(match(d294;a$1:a$1000;0));isnumber(match(i294;a$1:a$1000;0));isnumber(match(e294;a$1:a$1000;0));isnumber(match(j294;a$1:a$1000;0));isnumber(match(f294;a$1:a$1000;0));isnumber(match(k294;a$1:a$1000;0));isnumber(match(g294;a$1:a$1000;0));isnumber(match(l294;a$1:a$1000;0)));0;p294)	From Tree node	0002	23	""	""	""	""	""
296	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A294 = "R";isnumber(match(c294;a$1:a$1000;0));isnumber(match(h294;a$1:a$1000;0));isnumber(match(d294;a$1:a$1000;0));isnumber(match(i294;a$1:a$1000;0));isnumber(match(e294;a$1:a$1000;0));isnumber(match(j294;a$1:a$1000;0));isnumber(match(f294;a$1:a$1000;0));isnumber(match(k294;a$1:a$1000;0));isnumber(match(g294;a$1:a$1000;0));isnumber(match(l294;a$1:a$1000;0)));0;p294)	From Tree node	0002	23	""	""	""	""	""
297	""	A10< 2.5	A5>=8.5	A13< 96	" "	" "	A10	A5	A13	" "	" "	0.100977198697068	0.815789473684211	1.83	0.0823761357791874	=if(or(A298 = "R";isnumber(match(c298;a$1:a$1000;0));isnumber(match(h298;a$1:a$1000;0));isnumber(match(d298;a$1:a$1000;0));isnumber(match(i298;a$1:a$1000;0));isnumber(match(e298;a$1:a$1000;0));isnumber(match(j298;a$1:a$1000;0));isnumber(match(f298;a$1:a$1000;0));isnumber(match(k298;a$1:a$1000;0));isnumber(match(g298;a$1:a$1000;0));isnumber(match(l298;a$1:a$1000;0)));0;p298)	From Tree node	02	11	""	""	1	31	38
298	""	0.297455968688845	0.646586345381526	0.610576923076923							""	""	""	""	""	=if(or(A298 = "R";isnumber(match(c298;a$1:a$1000;0));isnumber(match(h298;a$1:a$1000;0));isnumber(match(d298;a$1:a$1000;0));isnumber(match(i298;a$1:a$1000;0));isnumber(match(e298;a$1:a$1000;0));isnumber(match(j298;a$1:a$1000;0));isnumber(match(f298;a$1:a$1000;0));isnumber(match(k298;a$1:a$1000;0));isnumber(match(g298;a$1:a$1000;0));isnumber(match(l298;a$1:a$1000;0)));0;p298)	From Tree node	02	11	""	""	""	""	""
299	""	-0.878378378378378	-0.418604651162791	-0.50920245398773							""	""	""	""	""	=if(or(A298 = "R";isnumber(match(c298;a$1:a$1000;0));isnumber(match(h298;a$1:a$1000;0));isnumber(match(d298;a$1:a$1000;0));isnumber(match(i298;a$1:a$1000;0));isnumber(match(e298;a$1:a$1000;0));isnumber(match(j298;a$1:a$1000;0));isnumber(match(f298;a$1:a$1000;0));isnumber(match(k298;a$1:a$1000;0));isnumber(match(g298;a$1:a$1000;0));isnumber(match(l298;a$1:a$1000;0)));0;p298)	From Tree node	02	11	""	""	""	""	""
300	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A298 = "R";isnumber(match(c298;a$1:a$1000;0));isnumber(match(h298;a$1:a$1000;0));isnumber(match(d298;a$1:a$1000;0));isnumber(match(i298;a$1:a$1000;0));isnumber(match(e298;a$1:a$1000;0));isnumber(match(j298;a$1:a$1000;0));isnumber(match(f298;a$1:a$1000;0));isnumber(match(k298;a$1:a$1000;0));isnumber(match(g298;a$1:a$1000;0));isnumber(match(l298;a$1:a$1000;0)));0;p298)	From Tree node	02	11	""	""	""	""	""
301	""	A4 %in% c("2")	A7< 18.5	A7>=5.5	" "	" "	A4	A7	A7	" "	" "	0.0944625407166124	0.852941176470588	1.92	0.0805709906112282	=if(or(A302 = "R";isnumber(match(c302;a$1:a$1000;0));isnumber(match(h302;a$1:a$1000;0));isnumber(match(d302;a$1:a$1000;0));isnumber(match(i302;a$1:a$1000;0));isnumber(match(e302;a$1:a$1000;0));isnumber(match(j302;a$1:a$1000;0));isnumber(match(f302;a$1:a$1000;0));isnumber(match(k302;a$1:a$1000;0));isnumber(match(g302;a$1:a$1000;0));isnumber(match(l302;a$1:a$1000;0)));0;p302)	SingleCatAlt	0111244	39	1	1	1	29	34
