#Rule	#Vars	Cov	Sign	Unus	Supp	Cnf
0	5.000	0.012	8.187	0.014	0.100	0.813
1	7.000	0.012	8.187	0.014	0.100	0.813
2	5.000	0.011	20.121	0.020	0.100	0.877
3	8.000	0.011	28.395	0.023	0.100	0.909
4	7.000	0.011	20.121	0.020	0.100	0.877
5	5.000	0.011	21.971	0.021	0.100	0.885
6	6.000	0.011	30.877	0.024	0.100	0.917
7	4.000	0.011	21.971	0.021	0.100	0.885
8	6.000	0.011	21.971	0.021	0.100	0.885
9	5.000	0.011	43.171	0.026	0.100	0.952
-	5.800	0.011	22.497	0.020	0.100	0.881
