Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	6.000000	0.000000	0.000000	0.000000	0.500000	0.066667	0.000000	0.001838	1.000000	0.000000
001   	000	-	6.000000	0.000000	0.000000	0.000000	0.500000	0.477778	0.000000	0.011993	0.712206	0.000000
002   	000	-	7.000000	0.000000	0.000000	0.000000	0.500000	0.066667	0.000000	0.000810	1.000000	0.000000
003   	000	-	8.000000	0.000000	0.000000	0.000000	0.500000	0.211111	0.000000	0.004774	0.927858	0.000000
004   	000	-	6.000000	0.000000	0.000000	0.000000	0.500000	0.122222	0.000000	0.001572	0.985560	0.000000
005   	001	-	3.000000	0.676113	39.823700	0.056529	0.991045	0.998886	0.671053	0.568724	0.959549	0.992515
006   	001	-	4.000000	0.601215	36.434807	0.050718	0.991611	0.997773	0.597166	0.509710	0.954472	0.993266
-    	- 	007	5.714286	0.182475	10.894073	0.015321	0.640379	0.420158	0.744939	0.157060	0.934235	0.283683
