trivials	empty	rule	c2	c3	c4	c5	f1	f2	f3	f4	f5	covPostCases	confidence	lift	globalQuality	withoutTrivial	optimised	iteration	treeNode	simplification	oneCatAltIndex	extLength	covPostCases2	support
147	""	-0.259259259259259	-0.3125	-0.6875	-0.818181818181818						""	""	""	""	""	=if(or(A146 = "R";isnumber(match(c146;a$1:a$1000;0));isnumber(match(h146;a$1:a$1000;0));isnumber(match(d146;a$1:a$1000;0));isnumber(match(i146;a$1:a$1000;0));isnumber(match(e146;a$1:a$1000;0));isnumber(match(j146;a$1:a$1000;0));isnumber(match(f146;a$1:a$1000;0));isnumber(match(k146;a$1:a$1000;0));isnumber(match(g146;a$1:a$1000;0));isnumber(match(l146;a$1:a$1000;0)));0;p146)	Simplified	0023	47	1	""	""	""	""
148	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A146 = "R";isnumber(match(c146;a$1:a$1000;0));isnumber(match(h146;a$1:a$1000;0));isnumber(match(d146;a$1:a$1000;0));isnumber(match(i146;a$1:a$1000;0));isnumber(match(e146;a$1:a$1000;0));isnumber(match(j146;a$1:a$1000;0));isnumber(match(f146;a$1:a$1000;0));isnumber(match(k146;a$1:a$1000;0));isnumber(match(g146;a$1:a$1000;0));isnumber(match(l146;a$1:a$1000;0)));0;p146)	Simplified	0023	47	1	""	""	""	""
149	""	Mg< 2.696	Ba< 0.2551	Ca< 12.87	K>=0.04968	Mg< 2.041	Mg	Ba	Ca	K	Mg	0.545454545454545	0.75	7.3	0.409090909090909	=if(or(A150 = "R";isnumber(match(c150;a$1:a$1000;0));isnumber(match(h150;a$1:a$1000;0));isnumber(match(d150;a$1:a$1000;0));isnumber(match(i150;a$1:a$1000;0));isnumber(match(e150;a$1:a$1000;0));isnumber(match(j150;a$1:a$1000;0));isnumber(match(f150;a$1:a$1000;0));isnumber(match(k150;a$1:a$1000;0));isnumber(match(g150;a$1:a$1000;0));isnumber(match(l150;a$1:a$1000;0)));0;p150)	From Tree node	23333	61	""	""	1	12	16
150	""	0.360655737704918	0.114754098360656	0.106280193236715	0.0722222222222222	0.320754716981132					""	""	""	""	""	=if(or(A150 = "R";isnumber(match(c150;a$1:a$1000;0));isnumber(match(h150;a$1:a$1000;0));isnumber(match(d150;a$1:a$1000;0));isnumber(match(i150;a$1:a$1000;0));isnumber(match(e150;a$1:a$1000;0));isnumber(match(j150;a$1:a$1000;0));isnumber(match(f150;a$1:a$1000;0));isnumber(match(k150;a$1:a$1000;0));isnumber(match(g150;a$1:a$1000;0));isnumber(match(l150;a$1:a$1000;0)));0;p150)	From Tree node	23333	61	""	""	""	""	""
151	""	-0.75	-0.545454545454545	-0.6	-0.772727272727273	-0.666666666666667					""	""	""	""	""	=if(or(A150 = "R";isnumber(match(c150;a$1:a$1000;0));isnumber(match(h150;a$1:a$1000;0));isnumber(match(d150;a$1:a$1000;0));isnumber(match(i150;a$1:a$1000;0));isnumber(match(e150;a$1:a$1000;0));isnumber(match(j150;a$1:a$1000;0));isnumber(match(f150;a$1:a$1000;0));isnumber(match(k150;a$1:a$1000;0));isnumber(match(g150;a$1:a$1000;0));isnumber(match(l150;a$1:a$1000;0)));0;p150)	From Tree node	23333	61	""	""	""	""	""
152	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A150 = "R";isnumber(match(c150;a$1:a$1000;0));isnumber(match(h150;a$1:a$1000;0));isnumber(match(d150;a$1:a$1000;0));isnumber(match(i150;a$1:a$1000;0));isnumber(match(e150;a$1:a$1000;0));isnumber(match(j150;a$1:a$1000;0));isnumber(match(f150;a$1:a$1000;0));isnumber(match(k150;a$1:a$1000;0));isnumber(match(g150;a$1:a$1000;0));isnumber(match(l150;a$1:a$1000;0)));0;p150)	From Tree node	23333	61	""	""	""	""	""
153	""	Ca>=9.244	Fe< 0.00255	Ca>=9.761	Ca< 13.45	" "	Ca	Fe	Ca	Ca	" "	0.545454545454545	0.705882352941177	6.87	0.385026737967914	=if(or(A154 = "R";isnumber(match(c154;a$1:a$1000;0));isnumber(match(h154;a$1:a$1000;0));isnumber(match(d154;a$1:a$1000;0));isnumber(match(i154;a$1:a$1000;0));isnumber(match(e154;a$1:a$1000;0));isnumber(match(j154;a$1:a$1000;0));isnumber(match(f154;a$1:a$1000;0));isnumber(match(k154;a$1:a$1000;0));isnumber(match(g154;a$1:a$1000;0));isnumber(match(l154;a$1:a$1000;0)));0;p154)	From Tree node	01122	31	""	""	1	12	17
154	""	0.326923076923077	0.138888888888889	0.382352941176471	0.104761904761905						""	""	""	""	""	=if(or(A154 = "R";isnumber(match(c154;a$1:a$1000;0));isnumber(match(h154;a$1:a$1000;0));isnumber(match(d154;a$1:a$1000;0));isnumber(match(i154;a$1:a$1000;0));isnumber(match(e154;a$1:a$1000;0));isnumber(match(j154;a$1:a$1000;0));isnumber(match(f154;a$1:a$1000;0));isnumber(match(k154;a$1:a$1000;0));isnumber(match(g154;a$1:a$1000;0));isnumber(match(l154;a$1:a$1000;0)));0;p154)	From Tree node	01122	31	""	""	""	""	""
155	""	-0.705882352941177	-0.433333333333333	-0.517241379310345	-0.6						""	""	""	""	""	=if(or(A154 = "R";isnumber(match(c154;a$1:a$1000;0));isnumber(match(h154;a$1:a$1000;0));isnumber(match(d154;a$1:a$1000;0));isnumber(match(i154;a$1:a$1000;0));isnumber(match(e154;a$1:a$1000;0));isnumber(match(j154;a$1:a$1000;0));isnumber(match(f154;a$1:a$1000;0));isnumber(match(k154;a$1:a$1000;0));isnumber(match(g154;a$1:a$1000;0));isnumber(match(l154;a$1:a$1000;0)));0;p154)	From Tree node	01122	31	""	""	""	""	""
156	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A154 = "R";isnumber(match(c154;a$1:a$1000;0));isnumber(match(h154;a$1:a$1000;0));isnumber(match(d154;a$1:a$1000;0));isnumber(match(i154;a$1:a$1000;0));isnumber(match(e154;a$1:a$1000;0));isnumber(match(j154;a$1:a$1000;0));isnumber(match(f154;a$1:a$1000;0));isnumber(match(k154;a$1:a$1000;0));isnumber(match(g154;a$1:a$1000;0));isnumber(match(l154;a$1:a$1000;0)));0;p154)	From Tree node	01122	31	""	""	""	""	""
