--------------------------------------------
|              Measures file               |
--------------------------------------------

MEASURES USED AS OBJECTIVES:
	COMP	UNUS	

CLASS	COMP	UNUS	FCNF
0	0.927083	0.923268	0.936952
0	1.000000	0.908813	0.901810
0	0.958333	0.920998	0.911637
0	0.994792	0.919818	0.911965
0	0.802083	0.959647	0.996225
0	0.802083	0.959647	0.996224
0	0.802083	0.959647	0.998085
0	0.802083	0.959647	0.998085
