#Rule	#Vars	Cov	Sign	Unus	Supp	Cnf
0	3.000	0.011	136.836	0.033	0.111	1.000
1	3.000	0.011	136.836	0.033	0.111	1.000
2	3.000	0.011	136.836	0.033	0.111	1.000
3	3.000	0.011	136.836	0.033	0.111	1.000
4	3.000	0.011	136.836	0.033	0.111	1.000
5	3.000	0.011	136.836	0.033	0.111	1.000
6	3.000	0.011	136.836	0.033	0.111	1.000
7	3.000	0.011	136.836	0.033	0.111	1.000
8	3.000	0.011	136.836	0.033	0.111	1.000
9	3.000	0.011	136.836	0.033	0.111	1.000
-	3.000	0.011	136.836	0.033	0.111	1.000
